Date,Close,Open,High,Low,Volume
03/01/2019," 10,382.20 "," 10,822.10 "," 10,874.90 "," 10,382.20 ", 18.83000 
03/04/2019," 11,297.20 "," 11,262.00 "," 11,314.80 "," 11,226.80 ", 10.34000 
03/05/2019," 12,018.70 "," 11,965.90 "," 12,106.60 "," 11,860.30 ", 9.57000 
03/06/2019," 11,086.00 "," 11,279.60 "," 11,297.20 "," 11,050.80 ", 33.61000 
03/07/2019," 10,134.00 "," 10,339.90 "," 10,362.80 "," 10,111.20 ", 13.30000 
03/09/2019," 9,905.30 "," 10,156.90 "," 10,202.70 "," 9,905.30 ", 11.32000 
03/10/2019," 9,859.50 "," 9,928.10 "," 9,928.10 "," 9,813.80 ", 9.60000 
03/12/2019," 10,728.80 "," 10,500.00 "," 10,843.20 "," 10,385.70 ", 19.65000 
03/13/2019," 12,089.00 "," 11,965.90 "," 12,089.00 "," 11,930.70 ", 8.76000 
03/14/2019," 12,036.30 "," 12,089.00 "," 12,194.60 "," 11,930.70 ", 12.27000 
03/15/2019," 11,226.80 "," 11,613.90 "," 11,649.10 "," 11,209.20 ", 46.62000 
03/18/2019," 11,209.20 "," 11,086.00 "," 11,402.80 "," 10,751.70 ", 28.96000 
03/19/2019," 11,226.80 "," 11,191.60 "," 11,244.40 "," 10,945.30 ", 20.22000 
03/20/2019," 11,367.60 "," 11,086.00 "," 11,473.20 "," 11,086.00 ", 15.40000 
03/21/2019," 11,262.00 "," 11,367.60 "," 11,420.40 "," 11,244.40 ", 7.50000 
03/22/2019," 11,244.40 "," 11,297.20 "," 11,332.40 "," 11,209.20 ", 11.48000 
03/25/2019," 11,050.80 "," 10,945.30 "," 11,138.80 "," 10,945.30 ", 10.23000 
03/26/2019," 11,121.20 "," 11,121.20 "," 11,174.00 "," 11,015.60 ", 9.63000 
03/27/2019," 11,385.20 "," 11,226.80 "," 11,385.20 "," 11,138.80 ", 6.95000 
03/28/2019," 11,420.40 "," 11,314.80 "," 11,420.40 "," 11,297.20 ", 6.88000 
03/29/2019," 11,332.40 "," 11,455.60 "," 11,508.40 "," 11,226.80 ", 17.89000 
04/01/2019," 10,452.50 "," 10,347.00 "," 10,558.10 "," 10,100.60 ", 15.99000 
04/03/2019," 12,441.00 "," 12,229.80 "," 12,441.00 "," 12,212.20 ", 13.74000 
04/04/2019," 11,402.80 "," 11,314.80 "," 11,402.80 "," 11,262.00 ", 7.57000 
04/06/2019," 11,117.70 "," 11,255.00 "," 11,346.50 "," 11,003.30 ", 7.03000 
04/07/2019," 10,202.70 "," 10,065.40 "," 10,294.20 "," 10,065.40 ", 10.65000 
04/09/2019," 9,882.40 "," 9,836.60 "," 9,973.90 "," 9,836.60 ", 12.32000 
04/10/2019," 9,768.00 "," 9,882.40 "," 9,928.10 "," 9,745.10 ", 10.06000 
04/11/2019," 9,951.00 "," 10,111.20 "," 10,156.90 "," 9,928.10 ", 12.72000 
04/12/2019," 10,728.80 "," 10,705.90 "," 10,797.40 "," 10,683.10 ", 10.35000 
04/16/2019," 11,174.00 "," 11,226.80 "," 11,262.00 "," 11,103.60 ", 4.23000 
04/17/2019," 11,121.20 "," 11,174.00 "," 11,209.20 "," 11,086.00 ", 5.09000 
04/18/2019," 11,015.60 "," 11,050.80 "," 11,103.60 "," 11,015.60 ", 6.54000 
04/19/2019," 11,121.20 "," 11,033.20 "," 11,156.40 "," 11,033.20 ", 3.32000 
04/22/2019," 11,209.20 "," 11,033.20 "," 11,297.20 "," 11,033.20 ", 4.99000 
04/23/2019," 11,226.80 "," 11,262.00 "," 11,262.00 "," 11,209.20 ", 4.62000 
04/24/2019," 11,737.10 "," 11,262.00 "," 11,737.10 "," 11,226.80 ", 15.88000 
04/25/2019," 11,649.10 "," 11,789.90 "," 11,842.70 "," 11,613.90 ", 11.21000 
04/26/2019," 11,825.10 "," 11,684.30 "," 11,895.50 "," 11,649.10 ", 7.72000 
05/03/2019," 12,335.40 "," 12,353.00 "," 12,529.00 "," 12,300.20 ", 15.62000 
05/04/2019," 11,438.00 "," 11,402.80 "," 11,490.80 "," 11,350.00 ", 5.03000 
05/06/2019," 10,888.90 "," 11,163.40 "," 11,300.70 "," 10,843.20 ", 6.29000 
05/07/2019," 10,202.70 "," 10,202.70 "," 10,271.30 "," 10,134.00 ", 6.46000 
